"Wavelength, µm","n","k"
0.3,1.5338888888889
0.312,1.5283144312952
0.324,1.5233478128334
0.336,1.5189037698413
0.348,1.5149114810411
0.36,1.5113117283951
0.372,1.5080546884033
0.384,1.5050981987847
0.396,1.5024063871034
0.408,1.4999485774702
0.42,1.4976984126984
0.432,1.4956331447188
0.444,1.4937330573817
0.456,1.491980994152
0.468,1.4903619694645
0.48,1.4888628472222
0.492,1.4874720735012
0.504,1.4861794532628
0.516,1.484975962983
0.528,1.4838535927456
0.54,1.48280521262
0.552,1.4818244591472
0.564,1.4809056385494
0.576,1.4800436439043
0.588,1.4792338840298
0.6,1.4784722222222
0.612,1.4777549233201
0.624,1.4770786078238
0.636,1.4764402120169
0.648,1.4758369532084
0.66,1.4752662993572
0.672,1.4747259424603
0.684,1.4742137751787
0.696,1.4737278702603
0.708,1.4732664623831
0.72,1.4728279320988
0.732,1.4724107916032
0.744,1.4720136721008
0.756,1.4716353125612
0.768,1.4712745496962
0.78,1.4709303090072
0.792,1.4706015967758
0.804,1.4702874928838
0.816,1.4699871443676
0.828,1.469699759621
0.84,1.4694246031746
0.852,1.469160990985
0.864,1.4689082861797
0.876,1.4686658952065
0.888,1.4684332643454
0.9,1.4682098765432
0.912,1.467995248538
0.924,1.4677889282435
0.936,1.4675904923661
0.948,1.4673995442326
0.96,1.4672157118056
0.972,1.4670386458704
0.984,1.4668680183753
0.996,1.466703520911
1.008,1.4665448633157
1.02,1.4663917723952
1.032,1.4662439907457
1.044,1.4661012756712
1.056,1.4659633981864
1.068,1.4658301420977
1.08,1.465701303155
1.092,1.465576688269
1.104,1.4654561147868
1.116,1.4653394098226
1.128,1.4652264096373
1.14,1.4651169590643
1.152,1.4650109109761
1.164,1.4649081257897
1.176,1.4648084710075
1.188,1.4647118207893
1.2,1.4646180555556
1.212,1.4645270616171
1.224,1.46443873083
1.236,1.4643529602748
1.248,1.4642696519559
1.26,1.464188712522
1.272,1.4641100530042
1.284,1.4640335885715
1.296,1.4639592383021
1.308,1.4638869249689
1.32,1.4638165748393
1.332,1.4637481174869
1.344,1.4636814856151
1.356,1.463616614892
1.368,1.4635534437947
1.38,1.4634919134636
1.392,1.4634319675651
1.404,1.4633735521627
1.416,1.4633166155958
1.428,1.4632611083649
1.44,1.4632069830247
1.452,1.4631541940821
1.464,1.4631026979008
1.476,1.4630524526112
1.488,1.4630034180252
1.5,1.4629555555556
